industry,company_size,median_annual_wan
不動產業,SME,72.3
不動產業,enterprise,68.0
不動產業,startup,56.3
住宿及餐飲業,SME,52.4
住宿及餐飲業,enterprise,44.0
住宿及餐飲業,startup,42.0
全體,SME,59.1
全體,enterprise,80.2
全體,startup,47.8
其他服務業,SME,56.4
其他服務業,enterprise,92.1
其他服務業,startup,38.1
出版影音及資通訊業,SME,83.4
出版影音及資通訊業,enterprise,110.4
出版影音及資通訊業,startup,69.8
專業科學及技術服務業,SME,78.3
專業科學及技術服務業,enterprise,92.6
專業科學及技術服務業,startup,58.1
工業,SME,57.1
工業,enterprise,86.1
工業,startup,46.1
批發及零售業,SME,69.2
批發及零售業,enterprise,61.3
批發及零售業,startup,50.2
支援服務業,SME,45.6
支援服務業,enterprise,47.9
支援服務業,startup,41.9
教育業(不含小學以上各級公私立學校等),SME,48.3
教育業(不含小學以上各級公私立學校等),enterprise,45.4
教育業(不含小學以上各級公私立學校等),startup,38.3
服務業,SME,61.8
服務業,enterprise,75.8
服務業,startup,49.3
營建工程業,SME,73.4
營建工程業,enterprise,72.1
營建工程業,startup,49.4
用水供應及污染整治業,SME,58.6
用水供應及污染整治業,enterprise,72.0
用水供應及污染整治業,startup,43.7
礦業及土石採取業,SME,107.7
礦業及土石採取業,enterprise,106.3
礦業及土石採取業,startup,48.9
藝術娛樂及休閒服務業,SME,54.1
藝術娛樂及休閒服務業,enterprise,47.8
藝術娛樂及休閒服務業,startup,38.8
製造業,SME,56.2
製造業,enterprise,85.5
製造業,startup,45.7
運輸及倉儲業,SME,65.7
運輸及倉儲業,enterprise,86.0
運輸及倉儲業,startup,50.2
醫療保健及社會工作服務業,SME,61.6
醫療保健及社會工作服務業,enterprise,91.7
醫療保健及社會工作服務業,startup,50.2
金融及保險業,SME,114.9
金融及保險業,enterprise,115.3
金融及保險業,startup,91.3
電力及燃氣供應業,SME,106.0
電力及燃氣供應業,enterprise,111.8
電力及燃氣供應業,startup,70.2
,SME,
,SME,
,enterprise,
,enterprise,
,startup,
,startup,
