industry,education,median_annual_wan
不動產業,不限,53.7
不動產業,國中及以下,40.3
不動產業,專科及大學,55.4
不動產業,研究所,68.4
不動產業,高中職,48.5
住宿及餐飲業,不限,41.5
住宿及餐飲業,國中及以下,42.9
住宿及餐飲業,專科及大學,41.6
住宿及餐飲業,研究所,49.6
住宿及餐飲業,高中職,40.9
全體,不限,54.6
全體,國中及以下,43.9
全體,專科及大學,58.2
全體,研究所,109.9
全體,高中職,48.1
其他服務業,不限,38.1
其他服務業,國中及以下,38.0
其他服務業,專科及大學,39.5
其他服務業,研究所,73.8
其他服務業,高中職,36.2
出版影音及資通訊業,不限,80.7
出版影音及資通訊業,國中及以下,55.8
出版影音及資通訊業,專科及大學,74.5
出版影音及資通訊業,研究所,121.3
出版影音及資通訊業,高中職,63.3
專業科學及技術服務業,不限,65.4
專業科學及技術服務業,國中及以下,42.6
專業科學及技術服務業,專科及大學,57.9
專業科學及技術服務業,研究所,95.5
專業科學及技術服務業,高中職,46.2
工業,不限,56.1
工業,國中及以下,44.8
工業,專科及大學,63.5
工業,研究所,128.1
工業,高中職,50.5
批發及零售業,不限,50.6
批發及零售業,國中及以下,43.8
批發及零售業,專科及大學,52.5
批發及零售業,研究所,81.0
批發及零售業,高中職,46.9
支援服務業,不限,45.5
支援服務業,國中及以下,39.8
支援服務業,專科及大學,47.6
支援服務業,研究所,56.9
支援服務業,高中職,44.4
教育業(不含小學以上各級公私立學校等),不限,38.2
教育業(不含小學以上各級公私立學校等),國中及以下,33.0
教育業(不含小學以上各級公私立學校等),專科及大學,38.5
教育業(不含小學以上各級公私立學校等),研究所,41.7
教育業(不含小學以上各級公私立學校等),高中職,34.0
服務業,不限,53.4
服務業,國中及以下,42.7
服務業,專科及大學,55.8
服務業,研究所,94.9
服務業,高中職,46.3
營建工程業,不限,49.7
營建工程業,國中及以下,42.7
營建工程業,專科及大學,54.3
營建工程業,研究所,78.3
營建工程業,高中職,44.1
用水供應及污染整治業,不限,50.5
用水供應及污染整治業,國中及以下,38.8
用水供應及污染整治業,專科及大學,54.8
用水供應及污染整治業,研究所,82.2
用水供應及污染整治業,高中職,44.5
礦業及土石採取業,不限,68.2
礦業及土石採取業,國中及以下,47.9
礦業及土石採取業,專科及大學,79.4
礦業及土石採取業,研究所,112.1
礦業及土石採取業,高中職,48.9
藝術娛樂及休閒服務業,不限,41.1
藝術娛樂及休閒服務業,國中及以下,36.2
藝術娛樂及休閒服務業,專科及大學,41.3
藝術娛樂及休閒服務業,研究所,55.4
藝術娛樂及休閒服務業,高中職,37.2
製造業,不限,57.0
製造業,國中及以下,45.2
製造業,專科及大學,65.0
製造業,研究所,133.1
製造業,高中職,51.8
運輸及倉儲業,不限,68.2
運輸及倉儲業,國中及以下,53.8
運輸及倉儲業,專科及大學,74.3
運輸及倉儲業,研究所,96.8
運輸及倉儲業,高中職,58.8
醫療保健及社會工作服務業,不限,63.3
醫療保健及社會工作服務業,國中及以下,50.5
醫療保健及社會工作服務業,專科及大學,65.5
醫療保健及社會工作服務業,研究所,97.5
醫療保健及社會工作服務業,高中職,49.6
金融及保險業,不限,110.6
金融及保險業,國中及以下,63.9
金融及保險業,專科及大學,107.1
金融及保險業,研究所,139.8
金融及保險業,高中職,87.1
電力及燃氣供應業,不限,109.1
電力及燃氣供應業,國中及以下,54.2
電力及燃氣供應業,專科及大學,106.5
電力及燃氣供應業,研究所,116.8
電力及燃氣供應業,高中職,118.9
,不限,
,不限,
,國中及以下,
,國中及以下,
,專科及大學,
,專科及大學,
,研究所,
,研究所,
,高中職,
,高中職,
