record_id,employee_id,leave_type,start_date,end_date,days,status,year
1,10001,特休,2026-01-20,2026-01-20,1,approved,2026
2,10001,特休,2026-03-10,2026-03-11,2,approved,2026
3,10001,特休,2026-05-02,2026-05-04,3,approved,2026
4,10001,事假,2026-02-14,2026-02-14,1,approved,2026
5,10001,病假,2026-04-08,2026-04-09,2,approved,2026
6,10001,補休,2026-06-01,2026-06-01,1,approved,2026
7,10001,喪假,2026-07-10,2026-07-15,6,approved,2026
8,10002,特休,2026-02-03,2026-02-07,5,approved,2026
9,10002,生理假,2026-03-15,2026-03-15,1,approved,2026
10,10002,生理假,2026-04-18,2026-04-18,1,approved,2026
11,10002,事假,2026-05-20,2026-05-20,1,approved,2026
12,10002,婚假,2026-06-10,2026-06-17,8,approved,2026
13,10003,特休,2026-01-06,2026-01-10,5,approved,2026
14,10003,特休,2026-04-01,2026-04-03,3,approved,2026
15,10003,病假,2026-03-03,2026-03-05,3,approved,2026
16,10003,陪產假,2026-05-15,2026-05-21,7,approved,2026
17,10004,特休,2026-02-17,2026-02-21,5,approved,2026
18,10004,生理假,2026-03-20,2026-03-20,1,approved,2026
19,10004,病假,2026-04-22,2026-04-22,1,approved,2026
20,10004,公假,2026-05-30,2026-05-30,1,approved,2026
21,10005,特休,2026-01-13,2026-01-17,5,approved,2026
22,10005,特休,2026-03-23,2026-03-28,5,approved,2026
23,10005,事假,2026-06-15,2026-06-15,1,pending,2026
24,10006,特休,2026-02-24,2026-02-26,3,approved,2026
25,10006,生理假,2026-04-10,2026-04-10,1,approved,2026
26,10006,事假,2026-05-05,2026-05-05,1,approved,2026
27,10007,特休,2026-01-27,2026-01-31,5,approved,2026
28,10007,補休,2026-03-08,2026-03-09,2,approved,2026
29,10007,病假,2026-05-11,2026-05-12,2,approved,2026
30,10008,特休,2026-02-09,2026-02-13,5,approved,2026
31,10008,特休,2026-04-27,2026-05-01,5,approved,2026
32,10008,生理假,2026-03-25,2026-03-25,1,approved,2026
33,10008,公假,2026-06-20,2026-06-20,1,approved,2026
34,10009,特休,2026-01-20,2026-01-24,5,approved,2026
35,10009,事假,2026-03-16,2026-03-17,2,approved,2026
36,10009,病假,2026-05-19,2026-05-19,1,approved,2026
37,10010,特休,2026-02-03,2026-02-05,3,approved,2026
38,10010,生理假,2026-04-14,2026-04-14,1,approved,2026
39,10010,事假,2026-05-26,2026-05-26,1,rejected,2026
40,10011,特休,2026-01-06,2026-01-10,5,approved,2026
41,10011,特休,2026-03-30,2026-04-04,5,approved,2026
42,10011,補休,2026-02-22,2026-02-23,2,approved,2026
43,10012,特休,2026-04-13,2026-04-15,3,approved,2026
44,10012,事假,2026-05-11,2026-05-11,1,approved,2026
45,10012,生理假,2026-06-09,2026-06-09,1,approved,2026
46,10013,特休,2026-01-13,2026-01-15,3,approved,2026
47,10013,特休,2026-04-06,2026-04-10,5,approved,2026
48,10013,病假,2026-02-17,2026-02-18,2,approved,2026
49,10013,公假,2026-05-22,2026-05-22,1,approved,2026
50,10013,補休,2026-06-15,2026-06-15,1,approved,2026
51,10014,特休,2026-02-09,2026-02-11,3,approved,2026
52,10014,生理假,2026-03-12,2026-03-12,1,approved,2026
53,10014,生理假,2026-05-14,2026-05-14,1,approved,2026
54,10014,事假,2026-04-03,2026-04-03,1,approved,2026
55,10014,婚假,2026-07-06,2026-07-13,8,approved,2026
56,10015,特休,2026-01-20,2026-01-24,5,approved,2026
57,10015,特休,2026-05-04,2026-05-06,3,approved,2026
58,10015,事假,2026-03-02,2026-03-03,2,approved,2026
59,10015,喪假,2026-04-14,2026-04-17,4,approved,2026
60,10015,病假,2026-06-08,2026-06-08,1,approved,2026
61,10016,特休,2026-02-23,2026-02-25,3,approved,2026
62,10016,生理假,2026-04-21,2026-04-21,1,approved,2026
63,10016,病假,2026-03-09,2026-03-10,2,approved,2026
64,10016,育嬰假,2026-07-01,2026-07-31,31,approved,2026
65,10017,特休,2026-01-27,2026-01-31,5,approved,2026
66,10017,補休,2026-03-16,2026-03-17,2,approved,2026
67,10017,陪產假,2026-05-25,2026-05-31,7,approved,2026
68,10017,事假,2026-06-22,2026-06-22,1,pending,2026
69,10018,特休,2026-02-16,2026-02-17,2,approved,2026
70,10018,生理假,2026-03-18,2026-03-18,1,approved,2026
71,10018,公假,2026-04-25,2026-04-25,1,approved,2026
72,10018,事假,2026-05-18,2026-05-18,1,approved,2026
73,10018,病假,2026-06-30,2026-07-01,2,approved,2026
74,10019,特休,2026-01-06,2026-01-10,5,approved,2026
75,10019,特休,2026-03-23,2026-03-27,5,approved,2026
76,10019,特休,2026-06-01,2026-06-05,5,approved,2026
77,10019,病假,2026-02-10,2026-02-10,1,approved,2026
78,10019,補休,2026-04-20,2026-04-20,1,approved,2026
79,10019,喪假,2026-05-05,2026-05-08,4,approved,2026
80,10020,特休,2026-02-02,2026-02-06,5,approved,2026
81,10020,特休,2026-04-27,2026-05-01,5,approved,2026
82,10020,生理假,2026-03-10,2026-03-10,1,approved,2026
83,10020,事假,2026-05-25,2026-05-25,1,rejected,2026
84,10020,公假,2026-06-18,2026-06-19,2,approved,2026
