record_id,employee_id,year,month,base_salary,bonus,overtime_pay,deduction,net_salary,payment_date
1,10001,2026,1,37819,0,0,953,36866,2026-01-25
2,10001,2026,2,37819,5000,0,551,42268,2026-02-25
3,10001,2026,3,37819,8000,0,1492,44327,2026-03-25
4,10001,2026,4,37819,0,1000,670,38149,2026-04-25
5,10001,2026,5,37819,3000,3000,992,42827,2026-05-25
6,10001,2026,6,37819,0,3000,1424,39395,2026-06-25
7,10001,2026,7,37819,0,1000,888,37931,2026-07-25
8,10001,2026,8,37819,0,3000,771,40048,2026-08-25
9,10002,2026,1,68024,3000,2000,933,72091,2026-01-25
10,10002,2026,2,68024,8000,3000,658,78366,2026-02-25
11,10002,2026,3,68024,0,2000,722,69302,2026-03-25
12,10002,2026,4,68024,0,0,1265,66759,2026-04-25
13,10002,2026,5,68024,0,0,551,67473,2026-05-25
14,10002,2026,6,68024,5000,3000,1014,75010,2026-06-25
15,10002,2026,7,68024,5000,1000,558,73466,2026-07-25
16,10002,2026,8,68024,5000,0,1371,71653,2026-08-25
17,10003,2026,1,56358,0,0,1109,55249,2026-01-25
18,10003,2026,2,56358,0,1000,913,56445,2026-02-25
19,10003,2026,3,56358,0,1000,1092,56266,2026-03-25
20,10003,2026,4,56358,5000,0,1134,60224,2026-04-25
21,10003,2026,5,56358,0,3000,1173,58185,2026-05-25
22,10003,2026,6,56358,5000,2000,1457,61901,2026-06-25
23,10003,2026,7,56358,0,1000,1185,56173,2026-07-25
24,10003,2026,8,56358,8000,2000,744,65614,2026-08-25
25,10004,2026,1,57870,0,3000,634,60236,2026-01-25
26,10004,2026,2,57870,8000,2000,968,66902,2026-02-25
27,10004,2026,3,57870,0,0,509,57361,2026-03-25
28,10004,2026,4,57870,3000,0,575,60295,2026-04-25
29,10004,2026,5,57870,5000,1000,1018,62852,2026-05-25
30,10004,2026,6,57870,0,1000,1455,57415,2026-06-25
31,10004,2026,7,57870,0,0,1400,56470,2026-07-25
32,10004,2026,8,57870,0,2000,791,59079,2026-08-25
33,10005,2026,1,56825,0,3000,1353,58472,2026-01-25
34,10005,2026,2,56825,5000,2000,1126,62699,2026-02-25
35,10005,2026,3,56825,8000,0,1183,63642,2026-03-25
36,10005,2026,4,56825,5000,2000,1454,62371,2026-04-25
37,10005,2026,5,56825,8000,0,1461,63364,2026-05-25
38,10005,2026,6,56825,0,2000,618,58207,2026-06-25
39,10005,2026,7,56825,0,1000,778,57047,2026-07-25
40,10005,2026,8,56825,0,1000,1234,56591,2026-08-25
41,10006,2026,1,44070,0,1000,1203,43867,2026-01-25
42,10006,2026,2,44070,8000,2000,1017,53053,2026-02-25
43,10006,2026,3,44070,3000,2000,1427,47643,2026-03-25
44,10006,2026,4,44070,0,0,1149,42921,2026-04-25
45,10006,2026,5,44070,3000,2000,545,48525,2026-05-25
46,10006,2026,6,44070,0,2000,1289,44781,2026-06-25
47,10006,2026,7,44070,0,2000,665,45405,2026-07-25
48,10006,2026,8,44070,8000,3000,1064,54006,2026-08-25
49,10007,2026,1,53559,8000,3000,1074,63485,2026-01-25
50,10007,2026,2,53559,0,0,577,52982,2026-02-25
51,10007,2026,3,53559,8000,1000,1058,61501,2026-03-25
52,10007,2026,4,53559,0,2000,1096,54463,2026-04-25
53,10007,2026,5,53559,5000,1000,940,58619,2026-05-25
54,10007,2026,6,53559,0,0,815,52744,2026-06-25
55,10007,2026,7,53559,0,0,1420,52139,2026-07-25
56,10007,2026,8,53559,0,1000,1198,53361,2026-08-25
57,10008,2026,1,78390,0,0,862,77528,2026-01-25
58,10008,2026,2,78390,5000,3000,1497,84893,2026-02-25
59,10008,2026,3,78390,5000,1000,1447,82943,2026-03-25
60,10008,2026,4,78390,0,1000,1499,77891,2026-04-25
61,10008,2026,5,78390,0,3000,525,80865,2026-05-25
62,10008,2026,6,78390,0,2000,1301,79089,2026-06-25
63,10008,2026,7,78390,3000,1000,773,81617,2026-07-25
64,10008,2026,8,78390,0,0,891,77499,2026-08-25
65,10009,2026,1,70856,0,3000,727,73129,2026-01-25
66,10009,2026,2,70856,0,3000,858,72998,2026-02-25
67,10009,2026,3,70856,0,1000,728,71128,2026-03-25
68,10009,2026,4,70856,0,1000,908,70948,2026-04-25
69,10009,2026,5,70856,0,2000,1385,71471,2026-05-25
70,10009,2026,6,70856,0,2000,859,71997,2026-06-25
71,10009,2026,7,70856,8000,3000,1195,80661,2026-07-25
72,10009,2026,8,70856,5000,2000,1461,76395,2026-08-25
73,10010,2026,1,54719,0,0,1398,53321,2026-01-25
74,10010,2026,2,54719,0,1000,1094,54625,2026-02-25
75,10010,2026,3,54719,0,0,611,54108,2026-03-25
76,10010,2026,4,54719,5000,3000,853,61866,2026-04-25
77,10010,2026,5,54719,8000,2000,946,63773,2026-05-25
78,10010,2026,6,54719,5000,0,894,58825,2026-06-25
79,10010,2026,7,54719,5000,1000,760,59959,2026-07-25
80,10010,2026,8,54719,0,3000,501,57218,2026-08-25
81,10011,2026,1,43212,5000,1000,872,48340,2026-01-25
82,10011,2026,2,43212,3000,0,1471,44741,2026-02-25
83,10011,2026,3,43212,8000,2000,1138,52074,2026-03-25
84,10011,2026,4,43212,0,0,1237,41975,2026-04-25
85,10011,2026,5,43212,0,2000,1182,44030,2026-05-25
86,10011,2026,6,43212,3000,2000,912,47300,2026-06-25
87,10011,2026,7,43212,8000,2000,1067,52145,2026-07-25
88,10011,2026,8,43212,0,1000,930,43282,2026-08-25
89,10012,2026,1,54848,8000,3000,1193,64655,2026-01-25
90,10012,2026,2,54848,8000,1000,1130,62718,2026-02-25
91,10012,2026,3,54848,5000,2000,915,60933,2026-03-25
