occupation_code,occupation_name,monthly_salary,annual_salary_wan
112000,高階主管(總經理及總執行長),159736.0,276.5
120090,中階主管(經理),98774.0,162.5
312190,監督人員(含現場及辦公室主任、科/股長),62981.0,98.1
211090,數理工程及地球科學研究人員,76607.0,111.6
212001,精算師(取得正式資格者),203428.0,366.2
212091,統計及精算專業人員,80937.0,128.9
213190,生命科學及生物科技專業人員(含生態環境),62095.0,85.5
213200,農、林、漁、牧業專業人員,55526.0,81.3
214100,品管、工管及生管工程師,60621.0,100.9
214200,土木及水利工程師,61722.0,89.7
214300,環境工程師,58044.0,88.7
214402,航空機械工程師,75898.0,118.0
214403,冷凍空調工程師,63199.0,103.9
214491,機械工程師(含造船、輪機、鑄造),63098.0,108.5
214502,食品工程師,55998.0,80.1
214591,化學工程師,67901.0,119.2
214600,地質、採礦、鑽探、冶金工程師,76082.0,128.3
214901,紡織工程師,49492.0,69.3
214902,醫療器材、醫學工程師,58138.0,87.8
214903,生物科學工程師,,
214904,光學工程師,69890.0,112.1
215190,電機、電子工程師,75649.0,140.6
215300,電信工程師,97195.0,182.8
216101,建築工程師(含建築師),62288.0,90.0
216191,景觀設計師、都市及交通規劃師,51464.0,69.8
216300,測量師及製圖師,51257.0,72.5
217100,室內設計師,50555.0,71.0
217200,平面及多媒體設計師,45413.0,61.2
217300,產品及服裝設計師(含工業設計),56669.0,86.8
221090,醫師,180007.0,249.7
222090,護理人員,53166.0,77.5
225000,獸醫師,51392.0,66.0
226090,藥事人員(含藥師),59442.0,82.5
229100,勞安及衛生管理人員(含工業安全管理師),57027.0,86.0
229200,物理治療師,46928.0,66.1
229300,營養師,43428.0,62.6
229400,聽力及語言治療師,50814.0,69.7
229500,職能治療師,47733.0,65.7
229901,呼吸治療師,54641.0,80.1
229902,醫院管理師,44689.0,66.3
229991,其他醫療保健專業人員,51070.0,85.6
233200,學前教育人員,42007.0,54.5
239190,補教業教師,37254.0,45.7
241100,會(審)計師,65569.0,107.7
241202,風險控管人員,75500.0,138.1
241291,財務及投資規劃分析人員,78073.0,146.8
242100,專案管理師(含經營管理顧問),67709.0,103.5
242101,稽核人員,73635.0,129.5
242200,人力資源管理師,60074.0,95.6
243100,廣告及行銷專業人員(含企劃),53609.0,81.5
243200,公關專業人員,55900.0,82.3
250000,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),75442.0,121.3
261100,律師,92923.0,158.0
261901,專利工程師及公證人,62268.0,95.6
263190,人文社會科學研究人員,65108.0,95.2
263590,社工師、心理專業人員,45737.0,64.9
264100,編輯、作家及有關撰稿人員,44430.0,58.2
264200,新聞記者,51079.0,68.3
264300,翻譯人員,39696.0,51.3
265290,表演藝術人員(含演員、配音員),36739.0,47.8
265400,電影、舞台及有關導演與製作人,48741.0,65.1
265600,廣播、電視及其他媒體播報員,50614.0,72.2
299999,其他專業人員,,
311100,物理、化學及地球科學技術員,38908.0,60.6
311200,營建工程技術員(含建築、土木、景觀、測量、水利、消防),47876.0,67.6
311390,電機、電子技術員,46379.0,81.6
311502,航空機械技術員,63162.0,104.4
311503,冷凍空調技術員,42391.0,59.4
311591,機械技術員(含造船、輪機、鑄造),44761.0,73.7
311602,食品技術員,40588.0,55.8
311691,化工技術員,48305.0,78.4
311700,品管、工管及生管技術員,41528.0,66.3
311800,製圖員,38981.0,52.4
311901,地質、採礦、鑽探、冶金技術員,53755.0,89.6
311902,環境工程技術員,39802.0,55.0
311903,紡織技術員,37129.0,50.5
313100,發電設備操作員,,
313200,焚化爐、水處理及氣(液)體設備操作員,48822.0,76.4
313300,化學加工設備控制員,,
313400,石油及天然氣精煉設備操作員,,
313500,金屬生產製程控制員,,
314100,生命科學技術員,43544.0,57.8
314200,農業技術及農業推廣人員,50177.0,77.8
315190,船舶監管人員(含引水人員),145151.0,172.3
315300,航空駕駛員,297880.0,393.1
315400,飛航管制員,63909.0,111.6
321100,醫療設備控制技術員,51015.0,74.5
321200,醫學及病理檢驗人員,51378.0,77.1
321400,義肢、義齒等人體輔具技術員,35377.0,52.9
323000,傳統醫學技術員,,
329100,牙醫助理,32466.0,40.6
329200,病歷管理人員,35241.0,49.9
329300,配鏡、驗光技術員,37755.0,49.5
329490,物理、職能(復健)治療技術員,39005.0,54.2
329500,勞安及衛生技術員,40851.0,57.2
329900,其他醫療保健助理專業人員,35269.0,45.5
331100,證券金融交易員及經紀人(含理財專員、承銷人員),81042.0,153.8
331200,信用及貸款人員,61554.0,116.9
331300,會計人員,51493.0,77.5
331400,統計及精算助理專業人員,61411.0,114.1
331500,財物及損失鑑價人員,51430.0,84.5
332100,保險代理人(含保險業務員),64711.0,101.3
332290,工商業銷售代表(含業務員),51515.0,77.0
332300,採購員,47231.0,69.5
333100,報關員(含報驗、船務人員),40780.0,57.6
333200,會議及活動規劃人員,41624.0,57.2
333300,職業介紹人及承包人,41913.0,57.0
333400,不動產經紀人(含房屋仲介),43068.0,68.1
333901,拍賣員(不含電子購物、郵購),,
334200,專業秘書,55679.0,85.9
341102,土地代書(地政士),42206.0,55.8
341191,法務人員,58312.0,94.2
341200,社會工作助理人員,37365.0,50.6
342100,職業運動員,160122.0,169.2
342200,運動、健身及休閒娛樂指導員,46769.0,64.8
343100,攝影師、攝影記者,40883.0,55.9
343900,節目助理及舞台相關工作人員,40059.0,52.1
351090,資訊管理及維護技術員,47234.0,69.5
352100,廣播及視聽技術員(含放映員),40690.0,50.9
352200,電信技術員,63682.0,116.1
399999,其他技術員及助理專業人員,,
411002,總務,39862.0,55.5
411090,辦公室綜合事務人員(含資料登錄、一般事務秘書),39102.0,54.4
421100,銀行、郵局櫃台事務人員,54332.0,91.5
421400,收帳、收費人員(含帳款催收),50262.0,80.0
422100,旅遊諮詢人員(含旅行社事務人員),43280.0,61.3
422290,接待員及服務台事務人員(含總機),35852.0,48.4
422400,電話及網路客服人員,41045.0,57.4
422500,統計調查訪談人員,40206.0,57.6
422900,醫院(診所)櫃台事務人員,33145.0,45.1
431100,會計助理、簿記、出納,37540.0,50.3
431202,核保人員,51103.0,84.0
431291,統計、財務、證券及保險事務人員,53784.0,96.8
432100,存貨事務人員,38446.0,53.4
432200,生產及物料規劃事務人員,41408.0,60.2
432300,運輸事務人員(含稽查、調度、管理、航務),48324.0,77.0
491000,人事事務人員,39699.0,54.7
499200,郵件處理及投遞人員,56249.0,94.9
499500,教務人員(含班導師、課輔人員),34923.0,44.9
499999,其他事務支援人員,,
511190,隨車、船、飛機服務人員(含空服員),69358.0,88.0
511300,導遊、領隊及解說員,33691.0,39.7
512000,廚師(含廚房領班),41304.0,53.8
513100,飲料調配及調酒員,33318.0,42.2
513990,餐飲服務人員(含餐飲領班、餐食櫃台工作),35582.0,45.9
514000,美髮、美容及造型設計人員,33197.0,43.2
515900,旅館管家、舍監(含房務領班),35257.0,44.6
519200,殯葬服務人員,41298.0,60.2
519300,寵物美容師及動物照料工作人員,34451.0,44.8
519901,按摩師,32149.0,40.0
522090,商店銷售及展售人員(含門市店長),38135.0,52.9
523000,收銀員及售票員,36839.0,47.7
529400,電話及網路行銷人員,43427.0,68.8
529500,加油站服務員,36076.0,51.1
531000,兒童照顧人員(含保母),34154.0,43.6
532000,健康照顧人員(含看護、月子照護),34230.0,44.5
540490,建築物管理員、保全及警衛人員,35495.0,44.6
540901,救生員,34876.0,43.2
599999,其他服務及銷售工作人員,39785.0,62.8
601090,園藝及農牧業生產人員,32470.0,40.3
711100,砌磚及有關工作人員,36919.0,49.2
711200,砌石、裁石及石雕人員,33459.0,42.1
711300,鋼筋彎紮、模板及混凝土有關工作人員,42021.0,55.9
711400,營建木作人員,40174.0,52.4
711900,其他營建構造人員(含鷹架工、鋁門窗及廣告招牌製作安裝),38402.0,51.4
712190,屋頂工作、地面牆面鋪設、泥作工作人員,38983.0,50.3
712490,絕緣材料、玻璃安裝人員,38144.0,46.9
712600,管道裝設人員(含檢修),39080.0,51.8
712700,空調及冷凍機械裝修人員,36888.0,49.5
713100,油漆、噴漆人員(含汽車鍍膜、裱糊工),37268.0,49.8
721100,金屬砂模及砂心製造人員,33263.0,46.4
721200,焊接及切割人員(含電焊工、氣焊工),38662.0,51.4
721300,板金人員,38274.0,53.9
721400,金屬結構預備及組合人員,40944.0,51.3
722100,鍛造、錘造及鍛壓工作人員,37112.0,49.5
722200,工具製造人員(含模具工、鉗工),37159.0,48.5
722300,金屬工具機設定及操作人員,35067.0,49.2
723190,車輛維修人員(含自行車、機車、汽車、火車),43046.0,61.4
723200,航空器維修人員,58320.0,99.7
723300,產業用機器維修人員,45320.0,65.8
731100,精密儀器製造及修理人員,44132.0,61.6
731200,樂器製造及調音人員,34880.0,46.1
731300,珠寶及貴金屬製作人員,40510.0,57.2
731490,陶瓷製品有關工作人員(含磚瓦),33655.0,45.7
731590,玻璃製品製造人員,36840.0,61.1
731790,各種材質手工藝人員,32243.0,38.3
732190,美編、印刷及有關工作人員(含印刷前置、裝訂),35394.0,45.7
740000,電力、電子、資通訊設備裝修人員(含水電工),42990.0,65.2
791090,食品製造及處理人員(含酒類、飲料、製糖、菸葉),34691.0,46.2
791590,產品分級及檢查人員,32202.0,46.1
792190,木材處理、家具木工及有關工作人員,32463.0,41.4
793200,服飾打樣人員,37445.0,48.9
793490,鞣(製)革、毛皮及皮革工作人員,32174.0,44.2
793590,製鞋及有關工作人員,38205.0,56.4
799100,潛水人員,,
799400,消毒及除蟲有關工作人員,39286.0,46.9
799991,光學鏡片製作人員,36508.0,57.9
810090,生產機械設備操作人員、剪裁或裁縫人員,36004.0,51.6
815790,洗衣(含鞋包)、熨燙工,31414.0,39.3
820000,組裝(現場)人員,33479.0,49.2
820001,半導體製品產線作業人員,42532.0,83.6
831100,軌道車輛駕駛人員,55505.0,96.0
831200,軌道制動器、號誌及轉轍器操作員,49843.0,72.8
832100,機車送件駕駛人員,36536.0,50.2
832200,小客、貨車駕駛人員,39632.0,52.4
833000,大客、貨車駕駛人員,46638.0,60.5
834000,推土、吊車、起重機等移運設備操作人員,45189.0,60.6
835000,船舶艙面水手及有關工作人員,77512.0,100.6
899999,其他技藝、機械設備操作及組裝人員,,
911090,清潔及家事工作人員(含建築清潔工、房務人員),31735.0,39.8
930090,勞力工(含理貨員、行李搬運工),34112.0,45.6
950100,廢棄物收集工及回收資源分類工,31512.0,38.9
990100,廚房幫工(含速食烹調),31840.0,40.6
990200,抄表員及自動販賣機收款員,39341.0,54.1
990904,停車場管理工,32981.0,41.3
990991,收票員、引座員、休閒遊樂場所服務員,31999.0,39.6
